code,name,value
us-ga-187,"Lumpkin County, GA",0.0
us-ga-189,"McDuffie County, GA",0.0
us-ga-191,"McIntosh County, GA",25.0
us-ga-193,"Macon County, GA",0.0
us-ga-195,"Madison County, GA",0.0
us-ga-197,"Marion County, GA",0.0
us-ga-199,"Meriwether County, GA",25.0
us-ga-201,"Miller County, GA",0.0
us-ga-205,"Mitchell County, GA",40.0
us-ga-207,"Monroe County, GA",0.0
us-ga-209,"Montgomery County, GA",33.0
us-ga-211,"Morgan County, GA",20.0
us-ga-213,"Murray County, GA",12.0
us-ga-215,"Muscogee County, GA",21.0
us-ga-217,"Newton County, GA",46.0
us-ga-219,"Oconee County, GA",0.0
us-ga-221,"Oglethorpe County, GA",0.0
us-ga-223,"Paulding County, GA",16.0
us-ga-225,"Peach County, GA",0.0
us-ga-227,"Pickens County, GA",17.0
us-ga-229,"Pierce County, GA",25.0
us-ga-231,"Pike County, GA",0.0
us-ga-233,"Polk County, GA",29.0
us-ga-235,"Pulaski County, GA",0.0
us-ga-237,"Putnam County, GA",20.0
us-ga-239,"Quitman County, GA",0.0
us-ga-241,"Rabun County, GA",0.0
us-ga-243,"Randolph County, GA",50.0
us-ga-245,"Richmond County, GA",47.0
us-ga-247,"Rockdale County, GA",27.0
us-ga-249,"Schley County, GA",0.0
us-ga-251,"Screven County, GA",20.0
us-ga-253,"Seminole County, GA",33.0
us-ga-255,"Spalding County, GA",33.0
us-ga-257,"Stephens County, GA",40.0
us-ga-259,"Stewart County, GA",50.0
us-ga-261,"Sumter County, GA",25.0
us-ga-263,"Talbot County, GA",33.0
us-ga-265,"Taliaferro County, GA",100.0
us-ga-267,"Tattnall County, GA",20.0
us-ga-269,"Taylor County, GA",0.0
us-ga-271,"Telfair County, GA",33.0
us-ga-273,"Terrell County, GA",25.0
us-ga-275,"Thomas County, GA",36.0
us-ga-277,"Tift County, GA",33.0
us-ga-279,"Toombs County, GA",17.0
us-ga-281,"Towns County, GA",0.0
us-ga-283,"Treutlen County, GA",50.0
us-ga-285,"Troup County, GA",14.0
us-ga-287,"Turner County, GA",50.0
us-ga-289,"Twiggs County, GA",0.0
us-ga-291,"Union County, GA",0.0
us-ga-293,"Upson County, GA",29.0
us-ga-295,"Walker County, GA",31.0
us-ga-297,"Walton County, GA",27.0
us-ga-299,"Ware County, GA",56.0
us-ga-301,"Warren County, GA",0.0
us-ga-303,"Washington County, GA",40.0
us-ga-305,"Wayne County, GA",33.0
us-ga-307,"Webster County, GA",0.0
us-ga-309,"Wheeler County, GA",0.0
us-ga-311,"White County, GA",0.0
us-ga-313,"Whitfield County, GA",17.0
us-ga-315,"Wilcox County, GA",0.0
us-ga-317,"Wilkes County, GA",50.0
us-ga-319,"Wilkinson County, GA",33.0
us-ga-321,"Worth County, GA",0.0
us-hi-001,"Hawaii County, HI",35.0
us-hi-003,"Honolulu County/city, HI",
us-hi-007,"Kauai County, HI",0.0
us-hi-009,"Maui County, HI",14.0
us-id-001,"Ada County, ID",3.0
us-id-003,"Adams County, ID",0.0
us-id-005,"Bannock County, ID",27.0
us-id-007,"Bear Lake County, ID",0.0
us-id-009,"Benewah County, ID",100.0
us-id-011,"Bingham County, ID",0.0
us-id-013,"Blaine County, ID",0.0
us-id-015,"Boise County, ID",0.0
us-id-017,"Bonner County, ID",0.0
us-id-019,"Bonneville County, ID",5.0
us-id-021,"Boundary County, ID",0.0
us-id-023,"Butte County, ID",0.0
us-id-025,"Camas County, ID",0.0
us-id-027,"Canyon County, ID",31.0
us-id-029,"Caribou County, ID",0.0
us-id-031,"Cassia County, ID",0.0
us-id-033,"Clark County, ID",100.0
us-id-035,"Clearwater County, ID",50.0
us-id-037,"Custer County, ID",100.0
us-id-039,"Elmore County, ID",20.0
us-id-041,"Franklin County, ID",0.0
us-id-043,"Fremont County, ID",0.0
us-id-045,"Gem County, ID",0.0
us-id-047,"Gooding County, ID",0.0
us-id-049,"Idaho County, ID",60.0
us-id-051,"Jefferson County, ID",0.0
us-id-053,"Jerome County, ID",20.0
us-id-055,"Kootenai County, ID",0.0
us-id-057,"Latah County, ID",43.0
us-id-059,"Lemhi County, ID",33.0
us-id-061,"Lewis County, ID",0.0
us-id-063,"Lincoln County, ID",0.0
us-id-065,"Madison County, ID",33.0
us-id-067,"Minidoka County, ID",20.0
us-id-069,"Nez Perce County, ID",10.0
us-id-071,"Oneida County, ID",0.0
us-id-073,"Owyhee County, ID",33.0
us-id-075,"Payette County, ID",50.0
us-id-077,"Power County, ID",0.0
us-id-079,"Shoshone County, ID",33.0
us-id-081,"Teton County, ID",0.0
us-id-083,"Twin Falls County, ID",7.0
us-id-085,"Valley County, ID",0.0
us-id-087,"Washington County, ID",33.0
us-il-001,"Adams County, IL",6.0
us-il-003,"Alexander County, IL",50.0
us-il-005,"Bond County, IL",25.0
us-il-007,"Boone County, IL",29.0
us-il-009,"Brown County, IL",50.0
us-il-011,"Bureau County, IL",10.0
us-il-013,"Calhoun County, IL",0.0
us-il-015,"Carroll County, IL",17.0
us-il-017,"Cass County, IL",0.0
us-il-019,"Champaign County, IL",9.0
us-il-021,"Christian County, IL",0.0
us-il-023,"Clark County, IL",0.0
us-il-025,"Clay County, IL",0.0
us-il-027,"Clinton County, IL",0.0
us-il-029,"Coles County, IL",33.0
us-il-031,"Cook County, IL",3.0
us-il-033,"Crawford County, IL",17.0
us-il-035,"Cumberland County, IL",0.0
us-il-037,"DeKalb County, IL",24.0
us-il-039,"De Witt County, IL",0.0
us-il-041,"Douglas County, IL",0.0
us-il-043,"DuPage County, IL",0.0
us-il-045,"Edgar County, IL",60.0
us-il-047,"Edwards County, IL",33.0
us-il-049,"Effingham County, IL",25.0
us-il-051,"Fayette County, IL",57.0
us-il-053,"Ford County, IL",0.0
us-il-055,"Franklin County, IL",25.0
us-il-057,"Fulton County, IL",25.0
us-il-059,"Gallatin County, IL",50.0
us-il-061,"Greene County, IL",20.0
us-il-063,"Grundy County, IL",10.0
us-il-065,"Hamilton County, IL",0.0
us-il-067,"Hancock County, IL",14.0
us-il-069,"Hardin County, IL",0.0
us-il-071,"Henderson County, IL",0.0
us-il-073,"Henry County, IL",23.0
us-il-075,"Iroquois County, IL",11.0
us-il-077,"Jackson County, IL",43.0
us-il-079,"Jasper County, IL",33.0
us-il-081,"Jefferson County, IL",18.0
us-il-083,"Jersey County, IL",0.0
us-il-085,"Jo Daviess County, IL",33.0
us-il-087,"Johnson County, IL",25.0
us-il-089,"Kane County, IL",7.0
us-il-091,"Kankakee County, IL",10.0
us-il-093,"Kendall County, IL",0.0
us-il-095,"Knox County, IL",25.0
us-il-097,"Lake County, IL",5.0
us-il-099,"LaSalle County, IL",
us-il-101,"Lawrence County, IL",20.0
us-il-103,"Lee County, IL",11.0
us-il-105,"Livingston County, IL",10.0
us-il-107,"Logan County, IL",12.0
us-il-109,"McDonough County, IL",40.0
us-il-111,"McHenry County, IL",4.0
us-il-113,"McLean County, IL",24.0
us-il-115,"Macon County, IL",15.0
us-il-117,"Macoupin County, IL",8.0
us-il-119,"Madison County, IL",21.0
us-il-121,"Marion County, IL",33.0
us-il-123,"Marshall County, IL",0.0
us-il-125,"Mason County, IL",33.0
us-il-127,"Massac County, IL",25.0
us-il-129,"Menard County, IL",0.0
us-il-131,"Mercer County, IL",0.0
us-il-133,"Monroe County, IL",0.0
us-il-135,"Montgomery County, IL",12.0
us-il-137,"Morgan County, IL",40.0
us-il-139,"Moultrie County, IL",0.0
us-il-141,"Ogle County, IL",9.0
us-il-143,"Peoria County, IL",10.0
us-il-145,"Perry County, IL",33.0
us-il-147,"Piatt County, IL",0.0
us-il-149,"Pike County, IL",80.0
us-il-151,"Pope County, IL",50.0
us-il-153,"Pulaski County, IL",50.0
us-il-155,"Putnam County, IL",0.0
us-il-157,"Randolph County, IL",22.0
us-il-159,"Richland County, IL",0.0
